Team1,Team2,Winner,Ground,Date,Match_no,link,TeamName,inns,fours,sixes,xtras_receive,total,wkts_lost
Australia,West Indies,Australia,Hobart,"Nov 17-21, 2005",1771,http://www.espncricinfo.com/ci/engine/match/226120.html,Australia,1,44,1,21,406,10
Australia,West Indies,Australia,Hobart,"Nov 17-21, 2005",1771,http://www.espncricinfo.com/ci/engine/match/226120.html,West Indies,2,38,0,20,334,10
Australia,West Indies,Australia,Hobart,"Nov 17-21, 2005",1771,http://www.espncricinfo.com/ci/engine/match/226120.html,Australia,2,9,0,1,78,1
Pakistan,England,drawn,Faisalabad,"Nov 20-24, 2005",1772,http://www.espncricinfo.com/ci/engine/match/226350.html,Pakistan,1,45,13,23,462,10
Pakistan,England,drawn,Faisalabad,"Nov 20-24, 2005",1772,http://www.espncricinfo.com/ci/engine/match/226350.html,England,1,38,4,36,446,10
Pakistan,England,drawn,Faisalabad,"Nov 20-24, 2005",1772,http://www.espncricinfo.com/ci/engine/match/226350.html,Pakistan,2,22,1,14,268,9
Pakistan,England,drawn,Faisalabad,"Nov 20-24, 2005",1772,http://www.espncricinfo.com/ci/engine/match/226350.html,England,2,21,1,14,164,6
Australia,West Indies,Australia,Adelaide,"Nov 25-29, 2005",1773,http://www.espncricinfo.com/ci/engine/match/226348.html,West Indies,1,36,1,17,405,10
Australia,West Indies,Australia,Adelaide,"Nov 25-29, 2005",1773,http://www.espncricinfo.com/ci/engine/match/226348.html,Australia,1,40,3,24,428,10
Australia,West Indies,Australia,Adelaide,"Nov 25-29, 2005",1773,http://www.espncricinfo.com/ci/engine/match/226348.html,West Indies,2,24,0,2,204,10
Australia,West Indies,Australia,Adelaide,"Nov 25-29, 2005",1773,http://www.espncricinfo.com/ci/engine/match/226348.html,Australia,2,19,0,19,182,3
Pakistan,England,Pakistan,Lahore,"Nov 29-Dec 3, 2005",1774,http://www.espncricinfo.com/ci/engine/match/226351.html,England,1,39,1,10,288,10
Pakistan,England,Pakistan,Lahore,"Nov 29-Dec 3, 2005",1774,http://www.espncricinfo.com/ci/engine/match/226351.html,Pakistan,1,65,7,28,636,8
Pakistan,England,Pakistan,Lahore,"Nov 29-Dec 3, 2005",1774,http://www.espncricinfo.com/ci/engine/match/226351.html,England,2,33,0,32,248,10
India,Sri Lanka,drawn,Chennai,"Dec 2-6, 2005",1775,http://www.espncricinfo.com/ci/engine/match/226361.html,India,1,22,0,20,167,10
India,Sri Lanka,drawn,Chennai,"Dec 2-6, 2005",1775,http://www.espncricinfo.com/ci/engine/match/226361.html,Sri Lanka,1,29,1,13,168,4
India,Sri Lanka,India,Delhi,"Dec 10-14, 2005",1776,http://www.espncricinfo.com/ci/engine/match/226362.html,India,1,38,1,12,290,10
India,Sri Lanka,India,Delhi,"Dec 10-14, 2005",1776,http://www.espncricinfo.com/ci/engine/match/226362.html,Sri Lanka,1,30,1,12,230,10
India,Sri Lanka,India,Delhi,"Dec 10-14, 2005",1776,http://www.espncricinfo.com/ci/engine/match/226362.html,India,2,38,4,32,375,6
India,Sri Lanka,India,Delhi,"Dec 10-14, 2005",1776,http://www.espncricinfo.com/ci/engine/match/226362.html,Sri Lanka,2,34,0,15,247,10
Australia,South Africa,drawn,Perth,"Dec 16-20, 2005",1777,http://www.espncricinfo.com/ci/engine/match/226371.html,Australia,1,37,0,14,258,10
Australia,South Africa,drawn,Perth,"Dec 16-20, 2005",1777,http://www.espncricinfo.com/ci/engine/match/226371.html,South Africa,1,38,0,18,296,10
Australia,South Africa,drawn,Perth,"Dec 16-20, 2005",1777,http://www.espncricinfo.com/ci/engine/match/226371.html,Australia,2,61,0,27,528,8
Australia,South Africa,drawn,Perth,"Dec 16-20, 2005",1777,http://www.espncricinfo.com/ci/engine/match/226371.html,South Africa,2,36,0,34,287,5
India,Sri Lanka,India,Ahmedabad,"Dec 18-22, 2005",1778,http://www.espncricinfo.com/ci/engine/match/226363.html,India,1,46,1,42,398,10
India,Sri Lanka,India,Ahmedabad,"Dec 18-22, 2005",1778,http://www.espncricinfo.com/ci/engine/match/226363.html,Sri Lanka,1,21,2,9,206,10
